brand,model,column,parameter,value,unit,source
Kimball,стандарт,9,Друк черных клавиш,10.3,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Друк черных клавиш,10.5,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Друк черных клавиш,10,мм,tmp_forss/crops/p2_right_table.png.tsv
Kimball,стандарт,9,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p2_right_table.png.tsv
Sauter,стандарт,11,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p2_right_table.png.tsv
Schimmel,<200 см,12a,Штульрама плоская или с возвышением,0,мм,tmp_forss/crops/p2_right_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние между осями фигур и молотков,93,,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Расстояние между осями фигур и молотков,45,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстояние между осями фигур и молотков,44-47,,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние между осями фигур и молотков,47.6 45,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстояние между осями фигур и молотков,44-,,tmp_forss/crops/p3_left_table.png.tsv
Seiler,"180, 206, 240",13,Расстояние между осями фигур и молотков,45,,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Штейнунг,47,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстойяие от гаммерштилей до польстера рулейстика,4.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Расстойяие от гаммерштилей до польстера рулейстика,4.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние зуслёзунга в басах,3.2*,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние зуслёзунга в басах,3,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Расстояние зуслёзунга в басах,2,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстояние зуслёзунга в басах,2.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстояние зуслёзунга в басах,2.5,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние ауслёзунга от струн в середине,3.2 2,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Расстояние ауслёзунга от струн в середине,1,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстояние ауслёзунга от струн в середине,2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,>200 см,12b,Расстояние ауслёзунга от струн в середине,2.0,мм,tmp_forss/crops/p3_left_table.png.tsv
Kimball,стандарт,9,Расстояние ауслезунга от струн в дискантах,3.2*,мм,tmp_forss/crops/p3_left_table.png.tsv
Petrof,Model IV 174 см,10,Расстояние ауслезунга от струн в дискантах,2,мм,tmp_forss/crops/p3_left_table.png.tsv
Sauter,стандарт,11,Расстояние ауслезунга от струн в дискантах,1,мм,tmp_forss/crops/p3_left_table.png.tsv
Schimmel,<200 см,12a,Расстояние ауслезунга от струн в дискантах,1.5,мм,tmp_forss/crops/p3_left_table.png.tsv
