brand,model,parameter,value,unit,source_column,source
Samick,SG-155,Высота белых клавиш с облицовкой над штульрамой,69,мм,14b,Forss 2009
Samick,SG-172,Высота белых клавиш с облицовкой над штульрамой,69,мм,14c,Forss 2009
Samick,G-3A,Высота белых клавиш с облицовкой над штульрамой,69,мм,14d,Forss 2009
Samick,SG-185,Высота белых клавиш с облицовкой над штульрамой,65,мм,14e,Forss 2009
Samick,SG-205,Высота белых клавиш с облицовкой над штульрамой,63,мм,14f,Forss 2009
Samick,SG-225,Высота белых клавиш с облицовкой над штульрамой,63,мм,14g,Forss 2009
Samick,SG-275,Высота белых клавиш с облицовкой над штульрамой,63,мм,14h,Forss 2009
Samick,SG-140A,Нажатая черная клавиша над ненажатой белой,2,мм,14a,Forss 2009
Samick,SG-155,Нажатая черная клавиша над ненажатой белой,2,мм,14b,Forss 2009
Samick,SG-172,Нажатая черная клавиша над ненажатой белой,2,мм,14c,Forss 2009
Samick,G-3A,Нажатая черная клавиша над ненажатой белой,2,мм,14d,Forss 2009
Samick,SG-185,Нажатая черная клавиша над ненажатой белой,2,мм,14e,Forss 2009
Samick,SG-205,Нажатая черная клавиша над ненажатой белой,2,мм,14f,Forss 2009
Samick,SG-225,Нажатая черная клавиша над ненажатой белой,2,мм,14g,Forss 2009
Samick,SG-275,Нажатая черная клавиша над ненажатой белой,2,мм,14h,Forss 2009
Samick,SG-140A,Друк белых клавиш,10,мм,14a,Forss 2009
Samick,SG-155,Друк белых клавиш,10,мм,14b,Forss 2009
Samick,SG-172,Друк белых клавиш,10,мм,14c,Forss 2009
Samick,G-3A,Друк белых клавиш,10,мм,14d,Forss 2009
Samick,SG-185,Друк белых клавиш,10,мм,14e,Forss 2009
Samick,SG-205,Друк белых клавиш,10,мм,14f,Forss 2009
Samick,SG-225,Друк белых клавиш,10,мм,14g,Forss 2009
Samick,SG-275,Друк белых клавиш,10,мм,14h,Forss 2009
Samick,SG-140A,Друк черных клавиш,10,мм,14a,Forss 2009
Samick,SG-155,Друк черных клавиш,10,мм,14b,Forss 2009
